Timestamp,TimeInCreasingInSecOnly,ScrollY,Direction,Speed (px/s),Page Height
36:00.2,5.9532,0,None,0,1292
36:00.2,5.9696,0,None,0,1292
36:00.2,5.986,0,None,0,1292
36:00.2,6.0024,0,None,0,1292
36:00.2,6.0188,0,None,0,1292
36:00.2,6.0352,0,None,0,1292
36:00.2,6.0516,0,None,0,1292
36:00.2,6.068,0,None,0,1292
36:00.2,6.0844,0,None,0,1292
36:00.2,6.1008,0,None,0,1292
36:00.2,6.1172,0,None,0,1292
36:00.2,6.1336,0,None,0,1292
36:00.2,6.15,0,None,0,1292
36:00.2,6.1664,0,None,0,1292
36:00.2,6.1828,0,None,0,1292
36:00.2,6.1992,0,None,0,1292
36:00.2,6.2156,0,None,0,1292
36:00.2,6.232,0,None,0,1292
36:00.2,6.2484,0,None,0,1292
36:00.2,6.2648,0,None,0,1292
36:00.2,6.2812,0,None,0,1292
36:00.2,6.2976,0,None,0,1292
36:00.3,6.314,0,None,0,1292
36:00.3,6.3304,0,None,0,1292
36:00.3,6.3468,0,None,0,1292
36:00.3,6.3632,0,None,0,1292
36:00.3,6.3796,0,None,0,1292
36:00.3,6.396,0,None,0,1292
36:00.3,6.4124,0,None,0,1292
36:00.3,6.4288,0,None,0,1292
36:00.3,6.4452,0,None,0,1292
36:00.3,6.4616,0,None,0,1292
36:00.3,6.478,0,None,0,1292
36:00.3,6.4944,0,None,0,1292
36:00.3,6.5108,0,None,0,1292
36:00.3,6.5272,0,None,0,1292
36:00.3,6.5436,0,None,0,1292
36:00.3,6.56,0,None,0,1292
36:00.3,6.5764,0,None,0,1292
36:00.3,6.5928,0,None,0,1292
36:00.3,6.6092,0,None,0,1292
36:00.3,6.6256,0,None,0,1292
36:00.3,6.642,0,None,0,1292
36:00.3,6.6584,0,None,0,1292
36:00.3,6.6748,0,None,0,1292
36:00.3,6.6912,0,None,0,1292
36:00.3,6.7076,0,None,0,1292
36:00.4,6.724,0,None,0,1292
36:00.4,6.7404,0,None,0,1292
36:00.4,6.7568,0,None,0,1292
36:00.4,6.7732,0,None,0,1292
36:00.4,6.7896,0,None,0,1292
36:00.4,6.806,0,None,0,1292
36:00.4,6.8224,0,None,0,1292
36:00.4,6.8388,0,None,0,1292
36:00.4,6.8552,0,None,0,1292
36:00.4,6.8716,0,None,0,1292
36:00.4,6.888,0,None,0,1292
36:00.4,6.9044,0,None,0,1292
36:00.4,6.9208,0,None,0,1292
36:00.4,6.9372,0,None,0,1292
36:00.4,6.9536,0,None,0,1292
36:00.4,6.97,0,None,0,1292
36:00.4,6.9864,0,None,0,1292
36:00.4,7.0028,0,None,0,1292
36:00.4,7.0192,0,None,0,1292
36:00.4,7.0356,0,None,0,1292
36:00.4,7.052,0,None,0,1292
36:00.4,7.0684,0,None,0,1292
36:00.4,7.0848,0,None,0,1292
36:00.4,7.1012,0,None,0,1292
36:00.4,7.1176,0,None,0,1292
36:00.5,7.134,0,None,0,1292
36:00.5,7.1504,0,None,0,1292
36:00.5,7.1668,0,None,0,1292
36:00.5,7.1832,0,None,0,1292
36:00.5,7.1996,0,None,0,1292
36:00.5,7.216,0,None,0,1292
36:00.5,7.2324,0,None,0,1292
36:00.5,7.2488,0,None,0,1292
36:00.5,7.2652,0,None,0,1292
36:00.5,7.2816,0,None,0,1292
36:00.5,7.298,0,None,0,1292
36:00.5,7.3144,0,None,0,1292
36:00.5,7.3308,0,None,0,1292
36:00.5,7.3472,0,None,0,1292
36:00.5,7.3636,0,None,0,1292
36:00.5,7.38,0,None,0,1292
36:00.5,7.3964,0,None,0,1292
36:00.5,7.4128,0,None,0,1292
36:00.5,7.4292,0,None,0,1292
36:00.5,7.4456,0,None,0,1292
36:00.5,7.462,0,None,0,1292
36:00.5,7.4784,0,None,0,1292
36:00.5,7.4948,0,None,0,1292
36:00.5,7.5112,0,None,0,1292
36:00.5,7.5276,0,None,0,1292
36:00.6,7.544,0,None,0,1292
36:00.6,7.5604,0,None,0,1292
36:00.6,7.5768,0,None,0,1292
36:00.6,7.5932,0,None,0,1292
36:00.6,7.6096,0,None,0,1292
36:00.6,7.626,0,None,0,1292
36:00.6,7.6424,0,None,0,1292
36:00.6,7.6588,0,None,0,1292
36:00.6,7.6752,0,None,0,1292
36:00.6,7.6916,0,None,0,1292
36:00.6,7.708,0,None,0,1292
36:00.6,7.7244,0,None,0,1292
36:00.6,7.7408,0,None,0,1292
36:00.6,7.7572,0,None,0,1292
36:00.6,7.7736,0,None,0,1292
36:00.6,7.79,0,None,0,1292
36:00.6,7.8064,0,None,0,1292
36:00.6,7.8228,0,None,0,1292
36:00.6,7.8392,0,None,0,1292
36:00.6,7.8556,0,None,0,1292
36:00.6,7.872,0,None,0,1292
36:00.6,7.8884,0,None,0,1292
36:00.6,7.9048,0,None,0,1292
36:00.6,7.9212,0,None,0,1292
36:00.6,7.9376,0,None,0,1292
36:00.7,7.954,0,None,0,1292
36:00.7,7.9704,0,None,0,1292
36:00.7,7.9868,0,None,0,1292
36:00.7,8.0032,0,None,0,1292
36:00.7,8.0196,0,None,0,1292
36:00.7,8.036,0,None,0,1292
36:00.7,8.0524,0,None,0,1292
36:00.7,8.0688,0,None,0,1292
36:00.7,8.0852,0,None,0,1292
36:00.7,8.1016,0,None,0,1292
36:00.7,8.118,0,None,0,1292
36:00.7,8.1344,0,None,0,1292
36:00.7,8.1508,0,None,0,1292
36:00.7,8.1672,0,None,0,1292
36:00.7,8.1836,0,None,0,1292
36:00.7,8.2,0,None,0,1292
36:00.7,8.2164,0,None,0,1292
36:00.7,8.2328,0,None,0,1292
36:00.7,8.2492,0,None,0,1292
36:00.7,8.2656,0,None,0,1292
36:00.7,8.282,0,None,0,1292
36:00.7,8.2984,0,None,0,1292
36:00.7,8.3148,0,None,0,1292
36:00.7,8.3312,0,None,0,1292
36:00.7,8.3476,0,None,0,1292
36:00.8,8.364,0,None,0,1292
36:00.8,8.3804,0,None,0,1292
36:00.8,8.3968,0,None,0,1292
36:00.8,8.4132,0,None,0,1292
36:00.8,8.4296,0,None,0,1292
36:00.8,8.446,0,None,0,1292
36:00.8,8.4624,0,None,0,1292
36:00.8,8.4788,0,None,0,1292
36:00.8,8.4952,0,None,0,1292
36:00.8,8.5116,0,None,0,1292
36:00.8,8.528,0,None,0,1292
36:00.8,8.5444,0,None,0,1292
36:00.8,8.5608,0,None,0,1292
36:00.8,8.5772,0,None,0,1292
36:00.8,8.5936,0,None,0,1292
36:00.8,8.61,0,None,0,1292
36:00.8,8.6264,0,None,0,1292
36:00.8,8.6428,0,None,0,1292
36:00.8,8.6592,0,None,0,1292
36:00.8,8.6756,0,None,0,1292
36:00.8,8.692,0,None,0,1292
36:00.8,8.7084,0,None,0,1292
36:00.8,8.7248,0,None,0,1292
36:00.8,8.7412,0,None,0,1292
36:00.8,8.7576,0,None,0,1292
36:00.9,8.774,0,None,0,1292
36:00.9,8.7904,0,None,0,1292
36:00.9,8.8068,0,None,0,1292
36:00.9,8.8232,0,None,0,1292
36:00.9,8.8396,0,None,0,1292
36:00.9,8.856,0,None,0,1292
36:00.9,8.8724,0,None,0,1292
36:00.9,8.8888,0,None,0,1292
36:00.9,8.9052,0,None,0,1292
36:00.9,8.9216,0,None,0,1292
36:00.9,8.938,0,None,0,1292
36:00.9,8.9544,0,None,0,1292
36:00.9,8.9708,0,None,0,1292
36:00.9,8.9872,0,None,0,1292
36:00.9,9.0036,0,None,0,1292
36:00.9,9.02,0,None,0,1292
36:00.9,9.0364,0,None,0,1292
36:00.9,9.0528,0,None,0,1292
36:00.9,9.0692,0,None,0,1292
36:00.9,9.0856,0,None,0,1292
36:00.9,9.102,0,None,0,1292
36:00.9,9.1184,0,None,0,1292
36:00.9,9.1348,0,None,0,1292
36:00.9,9.1512,0,None,0,1292
36:00.9,9.1676,0,None,0,1292
36:01.0,9.184,0,None,0,1292
36:01.0,9.2004,0,None,0,1292
36:01.0,9.2168,0,None,0,1292
36:01.0,9.2332,0,None,0,1292
36:01.0,9.2496,0,None,0,1292
36:01.0,9.266,0,None,0,1292
36:01.0,9.2824,0,None,0,1292
36:01.0,9.2988,0,None,0,1292
36:01.0,9.3152,0,None,0,1292
36:01.0,9.3316,0,None,0,1292
36:01.0,9.348,0,None,0,1292
36:01.0,9.3644,0,None,0,1292
36:01.0,9.3808,0,None,0,1292
36:01.0,9.3972,0,None,0,1292
36:01.0,9.4136,0,None,0,1292
36:01.0,9.43,0,None,0,1292
36:01.0,9.4464,0,None,0,1292
36:01.0,9.4628,0,None,0,1292
36:01.0,9.4792,0,None,0,1292
36:01.0,9.4956,0,None,0,1292
36:01.0,9.512,0,None,0,1292
36:01.0,9.5284,0,None,0,1292
36:01.0,9.5448,0,None,0,1292
36:01.0,9.5612,0,None,0,1292
36:01.0,9.5776,0,None,0,1292
36:01.1,9.594,0,None,0,1292
36:01.1,9.6104,0,None,0,1292
36:01.1,9.6268,0,None,0,1292
36:01.1,9.6432,0,None,0,1292
36:01.1,9.6596,0,None,0,1292
36:01.1,9.676,0,None,0,1292
36:01.1,9.6924,0,None,0,1292
36:01.1,9.7088,0,None,0,1292
36:01.1,9.7252,0,None,0,1292
36:01.1,9.7416,0,None,0,1292
36:01.1,9.758,0,None,0,1292
36:01.1,9.7744,0,None,0,1292
36:01.1,9.7908,0,None,0,1292
36:01.1,9.8072,0,None,0,1292
36:01.1,9.8236,0,None,0,1292
36:01.1,9.84,0,None,0,1292
36:01.1,9.8564,0,None,0,1292
36:01.1,9.8728,0,None,0,1292
36:01.1,9.8892,0,None,0,1292
36:01.1,9.9056,0,None,0,1292
36:01.1,9.922,0,None,0,1292
36:01.1,9.9384,0,None,0,1292
36:01.1,9.9548,0,None,0,1292
36:01.1,9.9712,0,None,0,1292
36:01.1,9.9876,0,None,0,1292
36:01.2,10.004,0,None,0,1292
36:01.2,10.0204,0,None,0,1292
36:01.2,10.0368,0,None,0,1292
36:01.2,10.0532,0,None,0,1292
36:01.2,10.0696,0,None,0,1292
36:01.2,10.086,0,None,0,1292
36:01.2,10.1024,0,None,0,1292
36:01.2,10.1188,0,None,0,1292
36:01.2,10.1352,0,None,0,1292
36:01.2,10.1516,0,None,0,1292
36:01.2,10.168,0,None,0,1292
36:01.2,10.1844,0,None,0,1292
36:01.2,10.2008,0,None,0,1292
36:01.2,10.2172,0,None,0,1292
36:01.2,10.2336,0,None,0,1292
36:01.2,10.25,0,None,0,1292
36:01.2,10.2664,0,None,0,1292
36:01.2,10.2828,0,None,0,1292
36:01.2,10.2992,0,None,0,1292
36:01.2,10.3156,0,None,0,1292
36:01.2,10.332,0,None,0,1292
36:01.2,10.3484,0,None,0,1292
36:01.2,10.3648,0,None,0,1292
36:01.2,10.3812,0,None,0,1292
36:01.2,10.3976,0,None,0,1292
36:01.3,10.414,0,None,0,1292
36:01.3,10.4304,0,None,0,1292
36:01.3,10.4468,0,None,0,1292
36:01.3,10.4632,0,None,0,1292
36:01.3,10.4796,0,None,0,1292
36:01.3,10.496,0,None,0,1292
